Index,Annual Event #,Metric Interval Event #,Start,Finish,Component Type,Object Name,Inducing Object,Protective Device,Desired Fault type,Fault Type,Number customers affected,Secondary number of customers affected,Location,Meters Affected,Cause
188,189,189,2000-03-01 10:45:00,2000-03-01 10:47:00,overhead_line,19396,RandEvent,F6171,TLG,TLG,17,0,-102.761210253 32.9917891129,node62462235664T62462235631 node62463073088T62463074161 node62462100205T62462100224 node62463190694T62463190598 node62463188749T62463188832 node62463186398T62463185453 node62473239194T62474180122 node62462219940T62462219856 node62474195151T62474196103 node62463017349T62463017451 node62463133009T62463132037 node62474202046T62463022999 node62462057439T62462057478 node62463026977T62463026955 node62474206706T62474206724 node62463019285T62463019253 node62462227630T62462227535,bird
189,190,190,2000-03-01 17:41:00,2000-03-01 17:43:00,overhead_line,20400,RandEvent,F7508,TLG,TLG,30,0,-102.765019068 32.9947166207,node62463019498T62463019467 node62463185287T62463186324 node62463028720T62463028740 node62462057655T62462057695 node62463027895T62463028953 node62463016251T62463016201 node62463021455T62463021550 node62474211335T62474211356 node62474208243T62474208138 node62462173273T62462173272 node62463021692T62463021663 node62474205692T62474206624 node62462222990T62462222900 node62462226475T62462227457 node62463124065T62463124087 node62463018503T62463017479 node62474201080T62463022938 node62463132895T62463133818 node62463123162T62463123126 node62474211556T62474211583 node62462231679T62462231679 node62462234942T62462233960 node62474144036T62474204979 node62462100205T62462100224 node62462172377T62462172490 node62463130850T62463130794 node62463000348T62463000400 node62474203572T62474203566 node62474202555T62474202581 node62462059675T62463000610,bird
190,191,191,2000-03-02 04:47:00,2000-03-02 04:49:00,overhead_line,15040,RandEvent,F7508,TLG,TLG,30,0,-102.760517052 32.9858177699,node62463074197T62463074165 node62463024844T62463025910 node62462169230T62462169245 node62474203572T62474203566 node62462232691T62462232564 node62474195268T62474196213 node62462057863T62462058873 node62462169487T62462169469 node62462170679T62462170743 node62474211060T62463031930 node62463019285T62463019253 node62474181623T62474181695 node62474202953T62474202989 node62462057655T62462057695 node62474211556T62474211583 node62463132895T62463133818 node62463188749T62463188832 node62474212387T62474212358 node62474205692T62474206624 node62462168493T62462169442 node62463027798T62463027880 node62462231414T62462230473 node62463133009T62463132037 node62463016900T62463016837 node62462166430T62462166454 node62462058744T62462058764 node62463001627T62463000688 node62474206706T62474206724 node62462058558T62462057585 node62474206893T62474207830,bird
191,192,192,2000-03-02 18:30:00,2000-03-02 18:32:00,overhead_line,16237,RandEvent,F6171,TLG,TLG,17,0,-102.760431733 32.9874474383,node62462170679T62462170743 node62473238255T62473238283 node62463019058T62463019150 node62462057863T62462058873 node62474195011T62474196023 node62463073088T62463074161 node62474181469T62474181497 node62474206532T62474206505 node62463074798T62463074775 node62462059542T62463000511 node62474203572T62474203566 node62474202147T62474202166 node62463012543T62463012540 node62474144036T62474204979 node62473239131T62473239069 node62463000348T62463000400 node62463032835T62463032849,bird
192,193,193,2000-03-03 04:02:00,2000-03-03 04:04:00,overhead_line,72475,RandEvent,F6537,TLG,SLG-A,5,0,-102.761217403 32.9878099359,node62462234942T62462233960 node62463024800T62463023775 node62474196191T62474197105 node62462059308T62462058491 node62463189387T62463189482,bird
193,194,194,2000-03-03 12:03:00,2000-03-03 12:05:00,overhead_line,16286,RandEvent,F6537,TLG,SLG-A,5,0,-102.759580579 32.9880333239,node62463018503T62463017479 node62474181623T62474181695 node62474195151T62474196103 node62463016405T62463015557 node62462170679T62462170743,bird
194,195,195,2000-03-04 20:41:00,2000-03-04 20:43:00,overhead_line,19792,RandEvent,F7508,TLG,TLG,30,0,-102.760572099 32.9928523585,node62474202555T62474202581 node62474181058T62474181036 node62474203871T62474203769 node62463190694T62463190598 node62474204371T62474204354 node62463073088T62463074161 node62462059542T62463000511 node62463028401T62463028430 node62463074798T62463074775 node62463020936T62463020868 node62463019437T62463019414 node62463001766T62463001769 node62474195151T62474196103 node62474202354T62474202362 node62463022298T62463022289 node62462058915T62462058961 node62474203981T62474203987 node62462163909T62462162948 node62474206532T62474206505 node62463186398T62463185453 node62474205692T62474206624 node62463024844T62463025910 node62463021692T62463021663 node62474202147T62474202166 node62462231529T62462231545 node62462238928T62462237996 node62474202258T62474202360 node62474212387T62474212358 node62474182051T62463002948 node62474196191T62474197105,bird
195,196,196,2000-03-05 05:14:00,2000-03-05 05:16:00,overhead_line,20599,RandEvent,F6537,TLG,SLG-A,5,0,-102.76444522 32.9943108656,node62474144036T62474204979 node62463028720T62463028740 node62474211335T62474211356 node62462059308T62462058491 node62463000855T62463000829,bird
196,197,197,2000-03-05 07:06:00,2000-03-05 07:08:00,overhead_line,15558,RandEvent,F7508,TLG,SLG-A,16,0,-102.760612737 32.986238597,node62474146040T62474206947 node62473238255T62473238283 node62462229319T62462228465 node62463139865T62463139950 node62462091125T62462091135 node62474206893T62474207830 node62463019285T62463019253 node62474181623T62474181695 node62462100389T62462101338 node62474202147T62474202166 node62463188901T62463187888 node62463027895T62463028953 node62474204748T62474204749 node62474206532T62474206505 node62463020936T62463020868 node62473238040T62473238073,bird
197,198,198,2000-03-05 09:02:00,2000-03-05 09:04:00,overhead_line,18893,RandEvent,F7167,TLG,TLG,24,0,-102.758009808 32.9914445488,node62474205893T62474206824 node62463134548T62463134578 node62474146040T62474206947 node62462168810T62462168870 node62474181058T62474181036 node62473239194T62474180122 node62462100205T62462100224 node62474207489T62474207437 node62463014628T62463014734 node62474182499T62474182459 node62474202046T62463022999 node62463032835T62463032849 node62463129089T62463129146 node62463012543T62463012540 node62462235664T62462235631 node62462166430T62462166454 node62474212387T62474212358 node62463018503T62463017479 node62463074798T62463074775 node62463019768T62463020860 node62462172359T62462172379 node62463075332T62463075357 node62463024800T62463023775 node62473238255T62473238283,bird
198,199,199,2000-03-05 14:21:00,2000-03-05 14:23:00,overhead_line,19538,RandEvent,F5187,TLG,SLG-A,15,0,-102.761850915 32.9922276692,node62463193561T62463193504 node62463072245T62463072330 node62463128092T62463188978 node62463020586T62463020670 node62462161131T62462161089 node62474207119T62474207223 node62463027798T62463027880 node62462172359T62462172379 node62474206532T62474206505 node62474181623T62474181695 node62463079175T62463079127 node62462219940T62462219856 node62463190800T62463189781 node62462234942T62462233960 node62463016900T62463016837,bird
199,200,200,2000-03-05 22:13:00,2000-03-05 22:15:00,overhead_line,20509,RandEvent,F7508,TLG,DLG-BC,14,0,-102.764211214 32.9940308058,node62462232961T62462233819 node62463016900T62463016837 node62463018993T62463018961 node62474212215T62474212237 node62462059675T62463000610 node62463076992T62463076899 node62462232691T62462232564 node62474182051T62463002948 node62474211060T62463031930 node62462221928T62462221998 node62463073088T62463074161 node62474202046T62463022999 node62463025237T62463024257 node62463028401T62463028430,bird
200,201,201,2000-03-06 00:35:00,2000-03-06 00:37:00,overhead_line,20599,RandEvent,F7508,TLG,TLG,30,0,-102.76444522 32.9943108656,node62463018503T62463017479 node62463020586T62463020670 node62462225428T62462224580 node62463017349T62463017451 node62463000855T62463000829 node62463190694T62463190598 node62462219692T62462220516 node62462219940T62462219856 node62463186718T62463186742 node62474181058T62474181036 node62463022298T62463022289 node62474207119T62474207223 node62474202454T62474202471 node62474204748T62474204749 node62463016251T62463016201 node62463032835T62463032849 node62474202354T62474202362 node62474146040T62474206947 node62474208243T62474208138 node62463132895T62463133818 node62462172377T62462172490 node62463021455T62463021550 node62463002869T62463003904 node62462238928T62462237996 node62474203871T62474203769 node62463027798T62463027880 node62474211335T62474211356 node62462231679T62462231679 node62463025237T62463024257 node62463185287T62463186324,bird
201,202,202,2000-03-06 20:00:00,2000-03-06 20:02:00,overhead_line,19502,RandEvent,F7167,TLG,TLG,24,0,-102.761360409 32.9922494669,node62463000348T62463000400 node62462059308T62462058491 node62474211556T62474211583 node62462231679T62462231679 node62462059542T62463000511 node62463016038T62463016077 node62462057439T62462057478 node62474203572T62474203566 node62474196191T62474197105 node62462059793T62462059787 node62463020936T62463020868 node62462227630T62462227535 node62463186718T62463186742 node62462238928T62462237996 node62474182499T62474182459 node62462221747T62462222618 node62463030909T62474210056 node62463132895T62463133818 node62462173273T62462173272 node62463016405T62463015557 node62462222990T62462222900 node62463028720T62463028740 node62463075194T62463075133 node62474202258T62474202360,bird
202,203,203,2000-03-07 04:20:00,2000-03-07 04:22:00,overhead_line,19815,RandEvent,F7508,TLG,SLG-A,16,0,-102.76300891 32.9925964988,node62474211556T62474211583 node62463018993T62463018961 node62463019768T62463020860 node62462170679T62462170743 node62463017349T62463017451 node62474182051T62463002948 node62463074975T62463014050 node62463016539T62463016634 node62463027798T62463027880 node62463186398T62463185453 node62474196319T62474196353 node62462225969T62462166024 node62463019437T62463019414 node62462168493T62462169442 node62474208819T62474208904 node62462222990T62462222900,bird
203,204,204,2000-03-07 05:50:00,2000-03-07 05:52:00,overhead_line,20350,RandEvent,F6171,TLG,TLG,17,0,-102.764623511 32.9938267338,node62462231529T62462231545 node62474181469T62474181497 node62474202953T62474202989 node62463027895T62463028953 node62463074798T62463074775 node62462172359T62462172379 node62463124065T62463124087 node62463132482T62463132499 node62463013691T62463013576 node62474207056T62474207085 node62462231679T62462231679 node62463018503T62463017479 node62463021692T62463021663 node62474215045T62474214083 node62463013707T62463013737 node62473238040T62473238073 node62463022298T62463022289,bird
204,205,205,2000-03-07 15:45:00,2000-03-07 15:47:00,overhead_line,17054,RandEvent,F7167,TLG,TLG,24,0,-102.758212555 32.9888925546,node62474211556T62474211583 node62462163909T62462162948 node62474207559T62474207612 node62463079175T62463079127 node62463000348T62463000400 node62474196319T62474196353 node62462178343T62462178321 node62462225428T62462224580 node62463017062T62463017045 node62474201080T62463022938 node62474204748T62474204749 node62463076992T62463076899 node62463001627T62463000688 node62462237962T62462237964 node62463020586T62463020670 node62463193561T62463193504 node62463078953T62463078922 node62463019437T62463019414 node62474202046T62463022999 node62462229510T62462229436 node62463002869T62463003904 node62463016539T62463016634 node62474182499T62474182459 node62462172359T62462172379,bird
205,206,206,2000-03-07 16:18:00,2000-03-07 16:20:00,overhead_line,17380,RandEvent,F7508,TLG,SLG-A,16,0,-102.758580303 32.9890917863,node62474204990T62474204859 node62474207930T62474207936 node62462057863T62462058873 node62463018993T62463018961 node62474182051T62463002948 node62463024844T62463025910 node62463014628T62463014734 node62474202354T62474202362 node62463132895T62463133818 node62462163909T62462162948 node62462234942T62462233960 node62463019498T62463019467 node62463130850T62463130794 node62474205893T62474206824 node62462226475T62462227457 node62463074197T62463074165,bird
206,207,207,2000-03-08 10:17:00,2000-03-08 10:19:00,overhead_line,18222,RandEvent,F5187,TLG,SLG-B,8,0,-102.759107626 32.9901176726,node62463188901T62463187888 node62473239131T62473239069 node62474181335T62474180389 node62463021455T62463021550 node62462229732T62462229741 node62462173273T62462173272 node62463018993T62463018961 node62463024844T62463025910,bird
207,208,208,2000-03-09 03:45:00,2000-03-09 03:47:00,overhead_line,19186,RandEvent,F6171,TLG,SLG-B,6,0,-102.761478629 32.9920939926,node62474196319T62474196353 node62462222990T62462222900 node62474204371T62474204354 node62463073088T62463074161 node62463128092T62463188978 node62474215045T62474214083,bird
208,209,209,2000-03-09 14:42:00,2000-03-09 14:44:00,overhead_line,17815,RandEvent,F7508,TLG,SLG-A,16,0,-102.759137121 32.9903462541,node62462058915T62462058961 node62462110050T62462110060 node62463022720T62463022676 node62463132202T62463131250 node62463018993T62463018961 node62463139865T62463139950 node62474182629T62474182678 node62474201080T62463022938 node62474204371T62474204354 node62463012543T62463012540 node62463030909T62474210056 node62474204552T62474204575 node62474208819T62474208904 node62462232961T62462233819 node62462219692T62462220516 node62462178343T62462178321,bird
209,210,210,2000-03-09 20:47:00,2000-03-09 20:49:00,overhead_line,18558,RandEvent,R1202,TLG,SLG-B,5,0,-102.758117179 32.9920028243,node62474202650T62474202681 node62463019768T62463020860 node62462226475T62462227457 node62474207930T62474207936 node62462157141T62462156117,bird
